date,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,facial_coverings,vaccination_policy,stringency_index,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
2021-02-15,1431.0,343890.0,26478.0,306.0,54163.0,3371.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,4376.0,412.0,242528.0,420200.0,3466797.0,82200.0,35917883.0,49542665.0,38098.0,2471951.0,77645.0,774915.0,115743.0,3246866.0
2021-02-16,1857.0,345747.0,26195.0,323.0,54486.0,3338.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,19590.0,586.0,244238.0,360977.0,3486387.0,82786.0,36162121.0,49903642.0,50398.0,2522349.0,101778.0,876693.0,152176.0,3399042.0
2021-02-17,1559.0,347306.0,25929.0,311.0,54797.0,3340.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,25018.0,310.0,245737.0,338255.0,3511405.0,83096.0,36407858.0,50241897.0,50534.0,2572883.0,107158.0,983851.0,157692.0,3556734.0
2021-02-18,1490.0,348796.0,25717.0,262.0,55059.0,3384.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,22501.0,271.0,247127.0,362499.0,3533906.0,83367.0,36654985.0,50604396.0,69787.0,2642670.0,124031.0,1107882.0,193818.0,3750552.0
2021-02-19,1543.0,350339.0,25506.0,309.0,55368.0,3380.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,24116.0,571.0,248488.0,404684.0,3558022.0,83938.0,36903473.0,51009080.0,65068.0,2707738.0,93465.0,1201347.0,158533.0,3909085.0
2021-02-20,1029.0,351368.0,25269.0,195.0,55563.0,3369.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,22371.0,183.0,249520.0,215407.0,3558022.0,84121.0,37152993.0,51224487.0,18589.0,2726327.0,29001.0,1230348.0,47590.0,3956675.0
2021-02-21,593.0,351961.0,25464.0,141.0,55704.0,3392.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,22046.0,159.0,249727.0,43505.0,3558022.0,84280.0,37402720.0,51267992.0,3321.0,2729648.0,6290.0,1236638.0,9611.0,3966286.0
2021-02-22,1529.0,353490.0,25831.0,274.0,55978.0,3407.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,4646.0,333.0,250532.0,407028.0,3558022.0,84613.0,37653252.0,51675020.0,37497.0,2767145.0,74253.0,1310891.0,111750.0,4078036.0
2021-02-23,1780.0,355270.0,25660.0,345.0,56323.0,3435.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,20064.0,431.0,252083.0,344211.0,3558022.0,85044.0,37905335.0,52019231.0,53780.0,2820925.0,86511.0,1397402.0,140291.0,4218327.0
2021-02-24,1636.0,356906.0,25614.0,319.0,56642.0,3436.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,60.19,31519.0,277.0,253450.0,328880.0,3558022.0,85321.0,38158785.0,52348111.0,60018.0,2880943.0,83935.0,1481337.0,143953.0,4362280.0
